1000000,Schwarzwurzel
1000002,trockene schwarze Mungbohnen
1000003,gekochte schwarze Mungbohnen
1000007,Müsli und Granola mit Joghurt
1000014,rohe geschnittene Wachspaprika
1000015,bandh gobi
1000017,Savoykohlkopf
1000018,grüner Kohlkopf
1000019,Weißkohlkopf
1000029,rohe orangefarbene Süßkartoffeln
1000030,rohe lila Süßkartoffeln
1000031,geröstete Kokosnussflocken
1000032,weiße Kokosflocken
1000033,picadillo
1000035,einfach gekochter Haferbrei aus Stahl geschnitten
1000036,pain au chocolat
1000039,ganze weiße Pizza
1000041,Römersalatblatt
1000042,rohe geschälte Süßkartoffel
1000044,bocconcini
1000046,lila Chips
1000056,offenes PBJ-Bagel
1000057,rohes Rindersteak
1000058,rohe Stücke rotes Fleisch
1000059,mariniertes rohes Rindfleisch
1000060,rohe geschnittene gelbe Süßkartoffel
1000061,rohe geschnittene lila Süßkartoffel
1000062,rohe geschnittene orangefarbene Süßkartoffel
1000065,Tomaten Fleischsoße
1000066,Tomaten-Gemüsesauce
1000067,Tomatenpüree
1000068,weiße Dip mit Kräutern
1000073,lila Marmeladen
1000091,weiße Schokoladenpralinen
1000101,gefrorene Mini-Pizzen
1000102,Mini Pizzen
1000109,rote saure Gummiringe
1000113,Kraffin Kuchenscheibe
1000114,kraffin Kuchen
1000115,Wachteleier
1000128,Rose-Apfel Früchte
1000134,gebackene gefüllte Äpfel
1000135,rohe gefüllte Äpfel
1000136,Pasta mit Zucchini
1000137,grüner Milchshake
1000138,roher Rinderbraten
1000141,japanisches Omelett
1000143,Udon Schüssel
1000148,jujube
1000149,Kartoffelnudeln mit Sauerkraut
1000150,Kartoffelnudeln
1000151,rote Rhabarberstangen
1000153,gehackter grüner Rhabarber
1000154,gehackter roter Rhabarber
1000155,Weizenkleieflakes mit Milch und Beeren
1000156,Pfannkuchensuppe
1000164,Dr Pepper Dose
1000169,Granola mit Beeren und Milch
1000247,Sesamstangen
1000248,indische süße Sesamstückchen
1000250,knusprige Erdnussbutter
1000251,takuan
1000268,Perilla Blatt
1000276,gewürfeltes Rettich-Kimchi
1000279,scharfer Gurkensalat
1000281,verpackte Enoki-Pilze
1000310,trockener Blütentee
1000311,trockene grüne Kräuter
1000312,gefrorenes Pizza-Baguette
1000313,Pizza Baguette
1000314,kinder bueno
1000318,Milchschokoladenquadrate
1000330,minced ginger -> gehackter Ingwer
1000333,roh gehackte grüne Paprika
1000334,roh gehackte gelbe Paprika
1000335,Italienische Wurstrolle
1000336,Hot Dog mit Senf
1000337,Hot Dog mit Ketchup
1000360,lange geschnittene Dillgurken
1000361,weißer Kuchen mit Pfirsichen
1000362,Konfetti-Bundt-Kuchen
1000380,Osmanthus Gelee
1000382,Chiu Chao Stil Teigtasche
1000383,Taro Bagel -> Taro Bagel
1000390,Sauerrahm mit Topping
1000394,schwarzes Seetang
1000395,Spargel-Speck-Mischung
1000403,Stück weißer Kuchen mit Pfirsichen
1000404,Stück weißer Kuchen mit Früchten
1000405,Stück Ananas Torte auf dem Kopf stehend
1000406,offenes Bagel mit Räucherlachs
1000409,dunkles Brot mit Butter
1000410,Weißbrot mit Butter
1000416,Jahrhundertei
1000418,chinesische Wampi
1000421,red bean fleecy -> rote Bohnen flauschig
1000425,gelbe Soße
1000432,Durian Fleisch
1000448,weißer Smoothie
1000454,kinpira
1000455,gekochter ganzer Fisch mit Kopf
1000457,Petersilien-Tempura
1000459,getrocknete Kombu
